metric,code,name,est,est_ci,lo95,hi95,B
OA,NA,Overall,0.8939256572982774,0.8936418857660925,0.8739800543970988,0.9120580235720761,1000
UA,1,Forest,0.9385964912280702,0.9386902245131311,0.9066666666666666,0.9683293587705353,1000
UA,2,Agrocanopy,0.9369085173501577,0.9366570402620595,0.9111094069529653,0.9624324725838691,1000
UA,3,Paddy,0.8671328671328671,0.8664326557209955,0.8111793611793612,0.9183732795443759,1000
UA,4,GrassScrub,0.8309859154929577,0.8295723259726365,0.7568767655367231,0.8896564401622719,1000
UA,5,Built,0.6976744186046512,0.6994186488803009,0.6,0.7931553801412546,1000
UA,6,Water,0.9487179487179487,0.9488282908864835,0.9067597421410981,0.982909604519774,1000
UA,7,Rock,0.8857142857142857,0.8859798418515312,0.8,0.9508296681327468,1000
PA,1,Forest,0.9344978165938864,0.9345073671163175,0.9012778873293895,0.9636381964809384,1000
PA,2,Agrocanopy,0.9428571428571428,0.9427484983413459,0.9141893943995626,0.9676520238320409,1000
PA,3,Paddy,0.8435374149659864,0.8448531079511095,0.782608695652174,0.9021064301552106,1000
PA,4,GrassScrub,0.8428571428571429,0.8425860052078499,0.7777777777777778,0.9000352112676057,1000
PA,5,Built,0.6593406593406593,0.6575373500204547,0.5567275145067698,0.7472556390977443,1000
PA,6,Water,0.9910714285714286,0.9916019149982326,0.9699034958530346,1,1000
PA,7,Rock,0.8985507246376812,0.897384949261033,0.8076612903225807,0.9661016949152542,1000
