Pred,Ref,n,pct_by_ref
1,1,214,0.9344978165938864
2,1,13,0.056768558951965066
3,1,2,0.008733624454148471
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
1,2,10,0.031746031746031744
2,2,297,0.9428571428571428
3,2,1,0.0031746031746031746
4,2,3,0.009523809523809525
5,2,4,0.012698412698412698
6,2,0,0
7,2,0,0
1,3,2,0.013605442176870748
2,3,1,0.006802721088435374
3,3,124,0.8435374149659864
4,3,4,0.027210884353741496
5,3,2,0.013605442176870748
6,3,6,0.04081632653061224
7,3,8,0.05442176870748299
1,4,0,0
2,4,0,0
3,4,3,0.02142857142857143
4,4,118,0.8428571428571429
5,4,19,0.1357142857142857
6,4,0,0
7,4,0,0
1,5,0,0
2,5,6,0.06593406593406594
3,5,9,0.0989010989010989
4,5,16,0.17582417582417584
5,5,60,0.6593406593406593
6,5,0,0
7,5,0,0
1,6,0,0
2,6,0,0
3,6,0,0
4,6,1,0.008928571428571428
5,6,0,0
6,6,111,0.9910714285714286
7,6,0,0
1,7,2,0.028985507246376812
2,7,0,0
3,7,4,0.057971014492753624
4,7,0,0
5,7,1,0.014492753623188406
6,7,0,0
7,7,62,0.8985507246376812
