pair,pair_label,code,class_name,area_from_ha,area_to_ha,persist_ha,gain_ha,loss_ha,net_ha
2004_2006__2010_2012,2004–06  2010–12,1,Forest,879486.12,851083.02,751365.72,99717.3,128120.4,-28403.099999999977
2004_2006__2010_2012,2004–06  2010–12,2,Agrocanopy,796351.41,809678.79,605275.02,204403.77,191076.38999999998,13327.380000000005
2004_2006__2010_2012,2004–06  2010–12,3,Paddy,299705.13,268587.63,163525.5,105062.12999999999,136179.63,-31117.5
2004_2006__2010_2012,2004–06  2010–12,4,GrassScrub,151742.69999999998,164076.38999999998,59241.329999999994,104835.06,92501.37,12333.690000000002
2004_2006__2010_2012,2004–06  2010–12,5,Built,107633.7,135949.59,34953.21,100996.37999999999,72680.49,28315.89
2004_2006__2010_2012,2004–06  2010–12,6,Water,113616.9,119160.54000000001,106405.47,12755.07,7211.43,5543.640000000014
2010_2012__2016_2018,2010–12  2016–18,1,Forest,846656.37,776841.03,714629.25,62211.78,132027.12,-69815.33999999997
2010_2012__2016_2018,2010–12  2016–18,2,Agrocanopy,808698.0599999999,905617.35,650620.62,254996.73,158077.44,96919.29000000004
2010_2012__2016_2018,2010–12  2016–18,3,Paddy,263036.79,236988.08999999997,146609.63999999998,90378.45,116427.15,-26048.70000000001
2010_2012__2016_2018,2010–12  2016–18,4,GrassScrub,164044.8,187413.47999999998,59916.869999999995,127496.61,104127.93000000001,23368.679999999993
2010_2012__2016_2018,2010–12  2016–18,5,Built,135781.38,118387.62,32436.27,85951.35,103345.11,-17393.76000000001
2010_2012__2016_2018,2010–12  2016–18,6,Water,118829.06999999999,111798.9,103465.62,8333.28,15363.449999999999,-7030.169999999998
2016_2018__2022_2024,2016–18  2022–24,1,Forest,776231.37,780790.32,707920.83,72869.49,68310.54,4558.949999999953
2016_2018__2022_2024,2016–18  2022–24,2,Agrocanopy,906147.99,812431.17,673725.15,138706.02,232422.84,-93716.81999999995
2016_2018__2022_2024,2016–18  2022–24,3,Paddy,237256.91999999998,309723.20999999996,179732.78999999998,129990.42,57524.13,72466.28999999998
2016_2018__2022_2024,2016–18  2022–24,4,GrassScrub,190332.9,136422.09,58200.75,78221.34,132132.15,-53910.81
2016_2018__2022_2024,2016–18  2022–24,5,Built,118691.18999999999,171923.94,45005.939999999995,126918,73685.25,53232.750000000015
2016_2018__2022_2024,2016–18  2022–24,6,Water,111979.89,129349.53,106959.78,22389.75,5020.11,17369.64
